HallwayType,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,346017
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,150442
mixed,Chil-sung-market,1,7,3,56,1997,5,558,61946
mixed,Bangoge,5,5,4,798,2005,7,914,165486
terraced,Sin-nam,0,1,2,536,2006,5,1743,311504
mixed,Chil-sung-market,1,7,3,56,1997,5,558,118584
terraced,Banwoldang,0,4,1,605,2007,5,1334,326548
mixed,Bangoge,5,5,4,798,2005,7,572,143362
terraced,no_subway_nearby,2,2,1,203,2009,5,910,172566
corridor,Banwoldang,0,3,2,108,2014,2,288,99823
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,211504
terraced,Myung-duk,5,7,5,1174,2014,9,843,305309
mixed,Bangoge,5,5,4,798,2005,7,572,145132
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,209734
mixed,Myung-duk,5,6,5,536,1993,4,644,168141
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,644,144752
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,389380
terraced,Banwoldang,0,4,1,605,2007,5,1334,347787
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,263345
mixed,Bangoge,5,5,4,798,2005,7,914,207079
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,644,149274
terraced,Sin-nam,0,3,2,475,2008,8,829,200000
mixed,Myung-duk,5,6,5,536,1993,4,644,85132
mixed,Bangoge,5,5,4,798,2005,7,743,245132
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,256637
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,207964
terraced,Banwoldang,0,0,0,203,2014,10,914,371681
terraced,Banwoldang,0,4,1,605,2007,5,1629,442477
terraced,Banwoldang,0,4,1,605,2007,5,1690,435398
mixed,Bangoge,5,5,4,798,2005,7,572,75920
terraced,Banwoldang,0,4,1,605,2007,5,1273,280530
mixed,Myung-duk,5,6,5,536,1993,4,914,207964
terraced,Banwoldang,0,4,1,605,2007,5,1483,371681
mixed,Myung-duk,5,6,5,536,1993,4,914,163716
mixed,Bangoge,5,5,4,798,2005,7,914,263716
terraced,Daegu,0,3,2,400,2015,7,644,286725
mixed,Myung-duk,5,6,5,536,1993,4,644,138938
corridor,no_subway_nearby,1,4,1,218,2014,1,156,57522
terraced,Sin-nam,0,1,2,536,2006,5,1412,302654
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,391150
terraced,Banwoldang,0,2,2,524,2007,4,1394,215176
mixed,Chil-sung-market,1,7,3,56,1997,5,644,75221
terraced,Banwoldang,0,4,1,605,2007,5,1690,476106
mixed,Myung-duk,5,6,5,536,1993,4,914,241592
terraced,no_subway_nearby,0,1,1,1321,2015,10,914,411504
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,123008
mixed,Bangoge,5,5,4,798,2005,7,572,115929
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,269026
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,348672
terraced,Banwoldang,0,2,2,524,2007,4,1394,295575
corridor,Daegu,2,5,0,76,1985,3,676,61946
terraced,Myung-duk,5,7,5,1174,2014,9,914,309292
terraced,Banwoldang,0,4,1,605,2007,5,1690,442477
corridor,Myung-duk,5,7,5,0,1992,3,355,77876
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,345132
